#,Material,Family,E(V/cm),T_onset(K),r_fitted(um),lambda(V·um),Vc(V),k_soft,Ea(eV),sigma_0(S/m),r_calc(um),T_pred(K),T_error%,DOI,Phenomenon,Title,Authors,Author_Count,Journal,Year,Volume,Issue,Pages,Publisher,Cite_Supporting,Cite_Contrasting,Cite_Mentioning,Citing_Pubs
1,"(La,Ta)-TiO2",rutile,300.0,1373.0,13.0,3900.0,0.39,0.25,1.5,1000.0,13.0,1372.9999999999998,1.6560355094190245e-14,10.1007/s10854-024-12518-3,flash_sintering,"Effect of limited current on ultrarapid densification and giant dielectric properties of flash sintering (La, Ta) co-doped TiO2 ceramics",Zaizhi Yang; Xi Wang; Liang Zhang; Hailing Li; Hui Zhang; Dong Xu,6,Journal of Materials Science: Materials in Electronics,2024,35,11,,Springer Science and Business Media LLC,0,0,0,1
2,(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,pyrochlore,150.0,1323.0,22.5,3375.0,0.3375,0.25,0.5,1.0,22.5,1323.0,0.0,10.1111/jace.19505,flash_sintering,"Two‐step reactive flash sintering of high entropy pyrochlore: Densification, grain growth, and microstructural homogeneity",Chen Xu; Jinmao He; Zixu Chen; Guoliang Zhao; Shikui Cai; Na Ni; Tianwei Liu,7,Journal of the American Ceramic Society,2024,107,2,797-802,Wiley,0,0,2,4
3,(Nb1/3Ta1/3Ti1/3)N,nitride,32.0,1123.0,339.3,10857.6,1.08576,0.82,0.2,100.0,339.3,1123.0,0.0,10.1111/jace.17226,flash_sintering,"Multicomponent bulk metal nitride (Nb
                    <sub>1/3</sub>
                    Ta
                    <sub>1/3</sub>
                    Ti
                    <sub>1/3</sub>
                    )N
                    <sub>1−</sub>
                    <i>
                      <sub>δ</sub>
                    </i>
                    synthesis via reaction flash sintering and characterizations",Santanu Mondal; Andriy Durygin; Vadym Drozd; Jose Belisario; Zhe Cheng,5,Journal of the American Ceramic Society,2020,103,9,4876-4893,Wiley,0,0,17,10
4,(ZrO₂)₀.₈(CeO₂)₀.₂,fluorite,250.0,1473.0,10.4,2600.0,0.26,0.26,0.8,10000.0,10.4,1473.0,0.0,10.1111/jace.18426,flash_sintering,"The influence of the processing parameters on the reactive flash sintering of ZrO
                    <sub>2</sub>
                    ‐CeO
                    <sub>2</sub>",Rubens Roberto Ingraci Neto; Erofili Kardoulaki; James Anthony Valdez,3,Journal of the American Ceramic Society,2022,105,6,3937-3948,Wiley,0,0,3,7
5,3YSZ,fluorite,120.0,1123.0,35.2,4224.0,0.4224,0.26,1.0,25000.0,35.375,1111.1497389279232,1.0552325086444183,10.1111/j.1551-2916.2010.04089.x,flash_sintering,Flash Sintering of Nanograin Zirconia in &lt;5 s at 850°C,Marco Cologna; Boriana Rashkova; Rishi Raj,3,Journal of the American Ceramic Society,2010,93,11,3556-3559,Wiley,20,2,818,1010
6,3YSZ-Al₂O₃ (50:50),composite,150.0,1573.0,15.5,2325.0,0.2325,0.26,0.8,10000.0,15.5,1573.0,0.0,10.1016/j.jeurceramsoc.2014.04.043,flash_sintering,Flash sintering as a nucleation phenomenon and a model thereof,Kiran S. Naik; Vincenzo M. Sglavo; Rishi Raj,3,Journal of the European Ceramic Society,2014,34,15,4063-4067,Elsevier BV,1,1,106,173
7,3YSZ-Sinterforging (5 MPa),fluorite,100.0,1148.0,38.6,3860.0,0.386,0.26,1.0,500000.0,38.6,1148.0,0.0,10.1016/j.jeurceramsoc.2012.02.030,flash_sintering,Joule heating during flash-sintering,Rishi Raj,1,Journal of the European Ceramic Society,2012,32,10,2293-2301,Elsevier BV,15,0,385,500
8,8YSZ,fluorite,100.0,1073.0,41.3,4130.0,0.41300000000000003,0.25,0.85,10000.0,42.75,1088.883348494027,1.4802747897508766,10.1111/jace.18804,flash_sintering,Reactive flash sintering in a bilayer of zirconia and lanthana: Measurement of the diffusion coefficient in real time,Syed I. A. Jalali; Rishi Raj,2,Journal of the American Ceramic Society,2023,106,2,867-877,Wiley,2,0,15,19
9,Al₂O₃-3YSZ (50:50),oxide_composite,150.0,1348.0,24.1,3615.0,0.36150000000000004,0.28,1.0,7000.0,24.1,1348.0000000000002,1.6867483341486063e-14,10.1111/jace.14178,flash_sintering,Analysis of the Power Density at the Onset of Flash Sintering,Rishi Raj,1,Journal of the American Ceramic Society,2016,99,10,3226-3232,Wiley,11,0,144,185
10,GDC10,fluorite,50.0,1373.0,77.8,3890.0,0.389,0.25,0.8,100.0,77.8,1373.0,0.0,10.1111/jace.17847,flash_sintering,Development of a processing map for safe flash sintering of gadolinium‐doped ceria,Tarini Prasad Mishra; Christian Lenser; Rishi Raj; Olivier Guillon; Martin Bram,5,Journal of the American Ceramic Society,2021,104,9,4316-4328,Wiley,0,0,23,36
